SKU,Retail_Price,Stock
147053,1379,39
147054,1349,26
147055,1429,8
147056,1459,47
147081,1439,58
147082,1459,30
147083,1439,30
147084,1379,32
246032,2519,2
312286,679,200
3154104,2389,35
3154105,3679,15
3154106,4069,17
3154107,5149,10
3154108,3979,16
3154109,5239,7
3154110,5319,16
3154111,3899,7
3154112,3839,35
3154113,4949,25
3154114,5179,15
3154115,3619,25
3154116,5759,1
3154117,7069,1
3154118,5819,1
3154119,4479,1
3154121,2349,44
3154122,3579,25
3154123,4019,25
3154124,5219,8
3154125,5839,1
3154126,7079,1
3154127,2749,16
3154128,2679,16
3154129,3999,16
3154130,3289,17
3154131,1999,20
3154134,2509,25
3154135,3729,8
3154136,4999,8
3155338,5399,19
3155339,5829,19
3157128,3829,104
3157129,4789,82
3157130,4909,27
3157131,5519,122
3157134,5829,0
3157135,7859,0
3172813,7409,8
3172815,7589,8
3172817,9749,3
3172822,6519,26
3172823,7129,29
3172824,6779,16
3172825,7239,16
3172826,9259,16
3172827,9719,16
3172828,7209,0
3172829,7529,0
319570,639,53
3214432,1569,104
3214433,1709,78
3214434,1739,2
3214435,1709,0
3214436,1799,37
3214437,1979,80
3214438,1979,48
3214439,1989,64
3214440,2659,16
3214441,2809,16
3214442,2859,2
3214443,2859,0
3214444,3119,16
3214445,3249,16
3214446,3309,16
3214447,3249,16
3214448,2399,16
3214449,2459,16
3214450,2559,16
3214451,2549,0
3214452,2809,16
3214453,2849,16
3214454,2959,16
3214455,2859,16
3214456,3659,16
3214457,3819,16
3214458,3889,2
3214459,3959,0
3214460,4269,16
3214461,4459,16
3214462,4539,16
3214463,4459,16
3214464,2949,16
3214465,3169,16
3214466,3169,0
3214467,3169,0
3214468,3369,16
3214469,3659,16
3214470,3659,16
3214471,3659,16
3261621,6089,41
3261622,7629,31
3261623,6229,41
3261624,7739,31
3261663,2469,200
3261664,3989,129
3261666,4289,129
3261667,5859,85
3261668,6519,86
3261669,7929,65
3261670,2359,200
3261671,3889,129
3261672,4169,129
3261673,4259,129
3261674,5829,85
3261675,6339,85
3261676,7879,64
3261682,6629,28
3261683,8079,21
3261696,6629,52
3261697,8079,38
3284343,3799,27
3284344,4979,27
3284345,3899,32
3284346,5139,32
3284347,4139,46
3284348,5329,46
3284349,5459,53
3284350,6479,53
3284351,3769,27
3284352,4969,27
3284353,3919,32
3284354,5119,32
3284355,4159,46
3284356,5349,46
3284357,5489,49
3284358,6519,36
3284359,3699,116
3284360,4899,89
3284363,3939,26
3284364,5159,26
3284367,3669,73
3284368,4889,49
3284371,3959,26
3284372,5189,26
3284381,5819,29
3284382,6649,29
3284383,4109,63
3284384,5489,63
3284389,5899,30
3284390,6729,30
3284391,3479,89
3284392,4409,57
3284393,3589,84
3284394,4459,72
3284395,3449,49
3284396,4449,36
3284397,2749,39
3284398,4139,52
3284399,4449,53
3284400,6059,39
3284401,4669,53
3284402,6149,39
3284403,6369,39
3284404,7749,26
3284405,2249,28
3284406,3309,28
3284407,3639,40
3284408,4859,40
3284409,3819,28
3284410,5039,28
3284411,5219,11
3284412,6199,11
3284413,2549,52
3284414,3419,52
3284415,3809,104
3284416,5179,84
3284417,3989,64
3284418,5369,64
3284419,5569,54
3284420,6379,54
3284421,2249,28
3284422,3289,28
3284423,3659,40
3284424,4889,40
3284425,3839,28
3284426,5069,28
3284427,5249,11
3284428,6239,11
3294925,539,200
3310010,2539,26
3310011,3439,16
3310012,1479,24
3310013,2799,24
3310014,3529,17
3310015,4249,13
3310145,2029,39
3310146,2749,31
3310147,1269,64
3310148,2409,64
3310149,3019,19
3310150,3599,15
3315001,1909,0
3315002,1979,0
3315003,1939,0
3315004,1909,0
3315005,1839,0
3315006,1899,0
3315007,1859,0
3315008,1839,0
3315009,1889,0
3315010,1859,0
3315011,2019,0
3315012,2029,0
3315013,2019,0
3315014,1989,0
3315015,1979,0
3315016,1899,0
3315017,1889,0
3315018,1879,0
3315019,1929,0
3315020,1939,0
3315021,1759,0
3315022,2019,0
3315023,1869,0
3315024,1869,0
3315025,1799,0
3315026,1789,0
3315027,1889,0
3315028,1839,0
3315029,1899,0
3315030,1619,0
3321360,2949,34
3321361,2619,6
3321362,2679,70
3321363,2679,25
3321364,2789,70
3321365,2679,13
3321366,4419,22
3321367,3929,3
3321368,4019,46
3321369,4019,16
3321370,4289,34
3321371,4019,6
3321372,3649,70
3321373,4009,13
3321374,3469,34
3321375,3179,6
3321376,3359,70
3321377,3359,25
3321378,3369,70
3321379,3239,13
3321380,3769,22
3321381,3449,3
3321382,4839,34
3321383,4549,6
3321384,5889,16
3321385,5239,2
3321386,5579,34
3321387,5359,6
3321388,3379,15
3321389,3079,6
3321390,1719,63
3321391,2259,25
3321392,6479,16
3321393,5769,2
3321394,6199,25
3321395,5959,6
3321396,3619,6
3321397,3969,15
3321398,1169,82
3321399,1229,0
3321400,1809,82
3321401,1879,0
3321402,2329,40
3321403,2459,0
3321404,1179,74
3321405,1199,0
3321406,1599,17
3321407,1509,5
3321408,2349,36
3321409,2399,0
3321410,1279,0
3321411,1209,0
3321412,1919,0
3321413,1889,0
3321414,2559,0
3321415,2419,0
3321416,4069,34
3321417,3809,0
3321418,4319,28
3321419,4139,0
3321420,3989,70
3321421,3989,0
3321422,4039,0
3321423,3959,0
3321424,3979,70
3321425,3899,0
3321426,4039,0
3321427,3879,0
3321428,6039,22
3321429,5789,0
3321430,5969,17
3321431,5459,3
3321432,6269,0
3321433,5759,0
3321434,5929,46
3321435,6039,0
3321436,5759,17
3321437,5639,5
3321438,6119,0
3321439,6009,0
3321440,5999,34
3321441,5879,0
3321442,5799,17
3321443,5449,5
3321444,6089,0
3321445,5849,0
3321446,5959,70
3321447,5959,0
3321448,5779,17
3321449,5549,5
3321450,6049,0
3321451,5929,0
3321452,5179,34
3321453,5069,0
3321454,5049,17
3321455,4639,5
3321456,5379,0
3321457,5059,0
3321458,4929,70
3321459,5199,0
3321460,4559,17
3321461,4479,5
3321462,4999,0
3321463,4919,0
3321464,4649,70
3321465,4569,0
3321466,4279,17
3321467,4139,5
3321468,4719,0
3321469,4559,0
3321470,5979,22
3321471,5669,0
3321472,6039,22
3321473,5639,0
3321474,6079,0
3321475,5769,0
3321476,6159,34
3321477,6049,0
3321478,7079,34
3321479,5909,0
3321480,6359,0
3321481,6039,0
3321482,8129,16
3321483,7619,0
3321484,8029,16
3321485,7549,0
3321486,8249,0
3321487,7569,0
3321488,7959,34
3321489,7799,0
3321490,7879,34
3321491,7729,0
3321492,8069,0
3321493,7749,0
3321494,5709,15
3321495,5499,0
3321496,5779,15
3321497,5469,0
3321498,5919,0
3321499,5489,0
3321500,4029,40
3321501,4169,0
3321502,4089,36
3321503,4099,0
3321504,4269,0
3321505,4119,0
3321506,9329,16
3321507,8949,0
3321508,9209,16
3321509,8849,0
3321510,9229,25
3321511,9049,0
3321512,9119,25
3321513,8959,0
3321514,5279,25
3321515,5369,0
3321516,5349,25
3321517,5349,0
3321518,6459,15
3321519,6819,0
3321520,7019,15
3321521,6769,0
3324225,4029,43
3324604,5679,9
3324605,6429,2
3324606,6309,1
3324607,6179,1
3324609,4899,43
3324610,4829,56
3324611,4899,41
3324612,5199,8
3324613,5199,7
3324614,5199,7
3324615,5199,10
3324616,5199,11
3324617,5089,15
3324618,5049,22
3324628,5089,30
3324629,5089,38
3324630,5089,31
3324631,5239,6
3324632,5239,7
3324633,5239,7
3324634,5239,7
3324635,5239,5
3324636,5279,9
3324637,5629,1
3324638,6379,0
3324639,5069,18
3324640,5389,17
3324641,6679,4
3324643,5159,3
3324644,5389,9
3324645,5159,5
3324646,5159,5
3324647,5479,0
3324648,5919,0
3324658,6049,11
3324659,6429,4
3324660,5649,0
3324661,6239,3
3324662,5469,0
3324663,6229,0
3324664,6229,0
3324665,5479,0
3324666,6279,0
3324686,4259,12
3324687,5009,2
3324688,4899,1
3324689,4679,1
3324713,3919,7
3324714,3919,7
3324715,3919,7
3324716,3919,7
3324717,3919,5
3324718,3949,17
3324719,4329,9
3324723,5379,4
3324725,3859,3
3324727,3859,5
3324728,3859,6
3324729,4039,0
3324730,4619,0
3324740,4619,17
3324741,5069,13
3324742,4199,0
3324743,4829,3
3324744,4069,0
3324745,4829,0
3324746,4829,0
3324747,4069,0
3324748,4869,0
3324835,2729,29
3324836,4129,2
3325140,1329,112
3325141,1319,78
3325142,1489,26
3325143,1479,26
3325144,1319,48
3325145,4479,0
3325146,5819,0
3325147,7169,0
3325148,3779,0
3325149,4609,0
3325150,5429,0
3325151,5029,192
3325152,3749,127
3325153,8779,127
3325154,11099,96
3325155,13429,47
3325156,7719,10
3325157,8899,10
3325158,10089,10
3325159,6199,159
3325160,4809,109
3325161,3219,0
3325162,11009,109
3325163,13509,19
3325164,16339,9
3325165,9279,0
3325166,10519,0
3325167,11769,0
3325168,3429,200
3325169,4619,188
3325170,4409,200
3325171,6439,79
3325172,3409,200
3325173,3409,200
3325174,4079,200
3325175,4079,200
3325176,5069,103
