Variant SKU,Variant Price,Variant Cost,Variant Inventory Qty,Variant Command
147056,1459,907.0,47,UPDATE
3157131,5519,3449.0,122,UPDATE
3214432,1569,976.0,104,UPDATE
3284349,5459,3408.0,53,UPDATE
3284350,6479,4044.0,53,UPDATE
3284381,5819,3636.0,29,UPDATE
3284382,6649,4155.0,29,UPDATE
3284383,4109,2567.0,63,UPDATE
3284384,5489,3430.0,63,UPDATE
3284398,4139,2582.0,52,UPDATE
3284413,2549,1588.0,52,UPDATE
3284414,3419,2137.0,52,UPDATE
3284415,3809,2377.0,104,UPDATE
3321360,2949,1839.0,34,UPDATE
3321363,2679,1674.0,25,UPDATE
3321364,2789,1742.0,70,UPDATE
3321365,2679,1672.0,13,UPDATE
3321366,4419,2759.0,22,UPDATE
3321367,3929,2452.0,3,UPDATE
3321369,4019,2510.0,16,UPDATE
3321370,4289,2676.0,34,UPDATE
3321373,4009,2501.0,13,UPDATE
3321374,3469,2163.0,34,UPDATE
3321377,3359,2096.0,25,UPDATE
3321378,3369,2105.0,70,UPDATE
3321379,3239,2023.0,13,UPDATE
3321380,3769,2354.0,22,UPDATE
3321381,3449,2156.0,3,UPDATE
3321382,4839,3022.0,34,UPDATE
3321384,5889,3678.0,16,UPDATE
3321386,5579,3485.0,34,UPDATE
3321391,2259,1410.0,25,UPDATE
3321392,6479,4044.0,16,UPDATE
3321394,6199,3874.0,25,UPDATE
3321406,1599,999.0,17,UPDATE
3321407,1509,940.0,5,UPDATE
3321416,4069,2539.0,34,UPDATE
3321424,3979,2486.0,70,UPDATE
3321428,6039,3773.0,22,UPDATE
3321430,5969,3727.0,17,UPDATE
3321431,5459,3407.0,3,UPDATE
3321436,5759,3595.0,17,UPDATE
3321437,5639,3524.0,5,UPDATE
3321440,5999,3747.0,34,UPDATE
3321442,5799,3624.0,17,UPDATE
3321443,5449,3404.0,5,UPDATE
3321448,5779,3609.0,17,UPDATE
3321449,5549,3466.0,5,UPDATE
3321452,5179,3232.0,34,UPDATE
3321454,5049,3154.0,17,UPDATE
3321455,4639,2899.0,5,UPDATE
3321460,4559,2847.0,17,UPDATE
3321461,4479,2798.0,5,UPDATE
3321464,4649,2903.0,70,UPDATE
3321466,4279,2672.0,17,UPDATE
3321467,4139,2582.0,5,UPDATE
3321470,5979,3735.0,22,UPDATE
3321472,6039,3775.0,22,UPDATE
