SKU,Status,New_Price,New_Cost,New_Stock
3214432,Not Found,1559,973.0,103
3214448,Not Found,2399,1496.0,16
3214457,Not Found,3809,2378.0,16
3214468,Not Found,3359,2098.0,16
3324604,Not Found,5699,3562.0,9
3324605,Not Found,6449,4030.0,2
3324606,Not Found,6329,3956.0,1
3324607,Not Found,6199,3875.0,1
3324609,Not Found,4919,3072.0,43
3324610,Not Found,4849,3028.0,56
3324611,Not Found,4919,3072.0,41
3324612,Not Found,5219,3261.0,8
3324613,Not Found,5219,3261.0,7
3324614,Not Found,5219,3261.0,7
3324615,Not Found,5219,3261.0,10
3324616,Not Found,5219,3261.0,11
3324617,Not Found,5109,3191.0,15
3324618,Not Found,5069,3166.0,22
3324629,Not Found,5109,3189.0,38
3324630,Not Found,5109,3189.0,31
3324631,Not Found,5259,3287.0,6
3324632,Not Found,5259,3287.0,7
3324634,Not Found,5259,3287.0,7
3324635,Not Found,5259,3287.0,5
3324637,Not Found,5649,3527.0,1
3324639,Not Found,5089,3178.0,18
3324640,Not Found,5419,3383.0,17
3324641,Not Found,6709,4188.0,4
3324643,Not Found,5189,3238.0,3
3324645,Not Found,5179,3235.0,5
3324646,Not Found,5179,3235.0,5
3324658,Not Found,6069,3790.0,11
3324659,Not Found,6459,4033.0,3
3324660,Not Found,5669,3543.0,0
3324661,Not Found,6259,3908.0,3
3324663,Not Found,6259,3907.0,0
3324664,Not Found,6249,3906.0,0
3324666,Not Found,6299,3937.0,0
3324686,Not Found,4279,2669.0,12
3324687,Not Found,5029,3139.0,2
3324688,Not Found,4919,3070.0,1
3324727,Not Found,3869,2417.0,5
3324728,Not Found,3869,2417.0,6
3324740,Not Found,4629,2893.0,17
3324741,Not Found,5089,3176.0,12
3324742,Not Found,4219,2635.0,0
3324743,Not Found,4849,3027.0,3
3324745,Not Found,4849,3028.0,0
3324746,Not Found,4849,3027.0,0
3324748,Not Found,4879,3050.0,0
3324836,Not Found,4129,2577.0,2
3325142,Not Found,1489,926.0,26
3325188,Not Found,3639,2274.0,12
3325189,Not Found,3569,2229.0,35
3325191,Not Found,3569,2229.0,9
3325192,Not Found,3179,1983.0,9
3325194,Not Found,3069,1914.0,5
3325195,Not Found,3009,1878.0,42
3325196,Not Found,3779,2360.0,5
3325197,Not Found,3779,2359.0,14
3325198,Not Found,3169,1981.0,19
3325202,Not Found,2249,1403.0,16
3325227,Not Found,2999,1872.0,70
3325228,Not Found,2999,1869.0,47
3325230,Not Found,2879,1794.0,51
3328374,Not Found,1489,927.0,48
3328376,Not Found,1399,874.0,41
3328377,Not Found,1449,901.0,23
3328378,Not Found,1449,901.0,19
3328609,Not Found,4979,3112.0,0
3328611,Not Found,3889,2430.0,0
3328614,Not Found,3159,1972.0,6
3328616,Not Found,2899,1808.0,6
3328618,Not Found,4359,2724.0,6
3328619,Not Found,3009,1881.0,26
3328620,Not Found,3019,1882.0,9
3328648,Not Found,2369,1477.0,189
3328649,Not Found,2429,1518.0,92
3328650,Not Found,2829,1768.0,24
3328651,Not Found,2909,1817.0,33
3328653,Not Found,2579,1610.0,92
3328655,Not Found,3069,1913.0,33
3328689,Not Found,3599,2250.0,85
3328690,Not Found,4219,2633.0,22
3328691,Not Found,3479,2175.0,53
3328692,Not Found,3629,2263.0,70
3328694,Not Found,1799,1124.0,85
3328695,Not Found,2769,1727.0,70
3328696,Not Found,3419,2137.0,53
3328698,Not Found,3739,2332.0,34
3329099,Not Found,3009,1880.0,12
3329102,Not Found,4079,2549.0,43
3329103,Not Found,4839,3024.0,10
3329104,Not Found,5029,3139.0,12
3329105,Not Found,4109,2563.0,12
3329106,Not Found,4179,2612.0,39
3329107,Not Found,4009,2504.0,12
3329108,Not Found,4169,2606.0,39
3329109,Not Found,5029,3140.0,12
3329110,Not Found,5339,3333.0,19
